second,Volt
-70.300E-03,-5.939E-03
-70.200E-03,-4.810E-03
-70.100E-03,+1.872E-03
-70.000E-03,-2.373E-03
-69.900E-03,-6.654E-03
-69.800E-03,-3.359E-03
-69.700E-03,-4.396E-03
-69.600E-03,-4.617E-03
-69.500E-03,-1.790E-03
-69.400E-03,-3.281E-03
-69.300E-03,-4.773E-03
-69.200E-03,-14.911E-03
-69.100E-03,-4.305E-03
-69.000E-03,-7.640E-03
-68.900E-03,-6.030E-03
-68.800E-03,-509E-06
-68.700E-03,-4.369E-03
-68.600E-03,-6.030E-03
-68.500E-03,-4.020E-03
-68.400E-03,-6.030E-03
-68.300E-03,-4.020E-03
-68.200E-03,-3.088E-03
-68.100E-03,-5.471E-03
-68.000E-03,-5.989E-03
-67.900E-03,-4.020E-03
-67.800E-03,-3.024E-03
-67.700E-03,-4.020E-03
-67.600E-03,-2.033E-03
-67.500E-03,-2.552E-03
-67.400E-03,-5.919E-03
-67.300E-03,-4.020E-03
-67.200E-03,-5.855E-03
-67.100E-03,-4.626E-03
-67.000E-03,-4.020E-03
-66.900E-03,-7.307E-03
-66.800E-03,-4.020E-03
-66.700E-03,-5.359E-03
-66.600E-03,-4.841E-03
-66.500E-03,-604E-06
-66.400E-03,-5.597E-03
-66.300E-03,-7.500E-03
-66.200E-03,-4.020E-03
-66.100E-03,-6.268E-03
-66.000E-03,-4.020E-03
-65.900E-03,-4.020E-03
-65.800E-03,-7.974E-03
-65.700E-03,-9.703E-03
-65.600E-03,-4.020E-03
-65.500E-03,-5.166E-03
-65.400E-03,-4.020E-03
-65.300E-03,-4.129E-03
-65.200E-03,-7.631E-03
-65.100E-03,-7.112E-03
-65.000E-03,-5.710E-03
-64.900E-03,-5.985E-03
-64.800E-03,-4.020E-03
-64.700E-03,-2.010E-03
-64.600E-03,-3.521E-03
-64.500E-03,-2.010E-03
-64.400E-03,-4.558E-03
-64.300E-03,-4.020E-03
-64.200E-03,-3.151E-03
-64.100E-03,-2.178E-03
-64.000E-03,-5.225E-03
-63.900E-03,-3.131E-03
-63.800E-03,-6.400E-03
-63.700E-03,-4.020E-03
-63.600E-03,-5.363E-03
-63.500E-03,-7.577E-03
-63.400E-03,-7.122E-03
-63.300E-03,-2.010E-03
-63.200E-03,-11.145E-03
-63.100E-03,-2.770E-03
-63.000E-03,-5.547E-03
-62.900E-03,-4.574E-03
-62.800E-03,-3.225E-03
-62.700E-03,-3.324E-03
-62.600E-03,-5.498E-03
-62.500E-03,-2.351E-03
-62.400E-03,-2.870E-03
-62.300E-03,-6.030E-03
-62.200E-03,-5.804E-03
-62.100E-03,-5.219E-03
-62.000E-03,-4.621E-03
-61.900E-03,-3.144E-03
-61.800E-03,-4.117E-03
-61.700E-03,-7.100E-03
-61.600E-03,-3.032E-03
-61.500E-03,-5.024E-03
-61.400E-03,-4.036E-03
-61.300E-03,-6.030E-03
-61.200E-03,-6.030E-03
-61.100E-03,-5.153E-03
